Country,Total,Males,Females
Austria,81.8,79.4,84.1
Belgium,81.7,79.4,83.
Bulgaria,75.0,71.5,78.6
Cyprus,82.9,80.9,84.8
Denmark,81.0,79.1,82.9
Estonia,78.5,74.0,82.7
France,82.9,79.7,85.9
Germany,81.0,78.6,83.3
Greece,81.9,79.3,84.4
Hungary,76.2,72.7,79.6
Ireland,82.3,80.5,84.1
Italy,83.4,81.2,85.6
Latvia,75.1,70.1,79.7
Lithuania,76.0,70.9,80.7
Luxembourg,82.3,80.1,84.6
Malta,82.5,80.4,84.6
Netherlands,81.9,80.3,83.4
Poland,77.7,73.7,81.7
Portugal,81.5,78.3,84.5
Romania,75.3,71.7,79.2
Slovakia,77.4,73.9,80.8
Slovenia,81.5,78.5,84.4
Spain,83.5,80.7,86.3
Sweden,82.6,80.9,84.3
UK,81.3,79.5,83.1
Albania,78.9,77.4,80.5
Belarus,74.5,69.3,79.5
Iceland,82.9,81.3,84.5
Norway,82.8,81.1,84.5
Russia,72.3,66.8,77.5
Serbia,75.9,73.5,78.4
Switzerland,83.8,81.9,85.7
Ukraine,73.2,68.1,78.0

